,Equipo,Temporada,AS,RS_V,HS,RS_H,realizados,recibidos
343,Villarreal,14/15,214,243,294,222,508,465
344,Villarreal,15/16,135,254,207,198,342,452
345,Villarreal,16/17,167,281,258,208,425,489
346,Villarreal,17/18,191,290,279,215,470,505
347,Villarreal,18/19,224,332,269,223,493,555
348,Villarreal,19/20,235,243,261,238,496,481
349,Villarreal,20/21,175,216,231,194,406,410
350,Villarreal,21/22,203,243,252,173,455,416
351,Villarreal,22/23,209,260,296,214,505,474
352,Xerez,09/10,171,323,193,275,364,598
353,Zaragoza,05/06,211,268,285,170,496,438
354,Zaragoza,06/07,205,276,281,212,486,488
355,Zaragoza,07/08,198,248,308,217,506,465
356,Zaragoza,09/10,192,255,293,210,485,465
357,Zaragoza,10/11,227,255,297,200,524,455
358,Zaragoza,11/12,196,299,240,230,436,529
359,Zaragoza,12/13,218,227,242,207,460,434
